,Country,Year,Medal,Count
341,BUL,2000,Gold,5
342,BUL,2000,Silver,6
343,BUL,2004,Bronze,14
344,BUL,2004,Gold,2
345,BUL,2004,Silver,1
346,BUL,2008,Bronze,3
347,BUL,2008,Gold,1
348,BUL,2008,Silver,1
349,BUL,2012,Bronze,1
350,BUL,2012,Silver,1
351,BWI,1960,Bronze,5
352,CAN,1900,Bronze,1
353,CAN,1900,Gold,1
354,CAN,1904,Gold,26
355,CAN,1904,Silver,9
356,CAN,1908,Bronze,26
357,CAN,1908,Gold,17
358,CAN,1908,Silver,8
359,CAN,1912,Bronze,3
360,CAN,1912,Gold,3
361,CAN,1912,Silver,2
362,CAN,1920,Bronze,3
363,CAN,1920,Gold,10
364,CAN,1920,Silver,3
365,CAN,1924,Bronze,1
366,CAN,1924,Silver,19
367,CAN,1928,Bronze,21
368,CAN,1928,Gold,7
369,CAN,1928,Silver,5
370,CAN,1932,Bronze,23
371,CAN,1932,Gold,2
372,CAN,1932,Silver,13
373,CAN,1936,Bronze,9
374,CAN,1936,Gold,1
375,CAN,1936,Silver,12
376,CAN,1948,Bronze,5
377,CAN,1948,Silver,1
378,CAN,1952,Gold,1
379,CAN,1952,Silver,3
380,CAN,1956,Bronze,5
381,CAN,1956,Gold,5
382,CAN,1956,Silver,9
383,CAN,1960,Silver,9
384,CAN,1964,Bronze,1
385,CAN,1964,Gold,2
386,CAN,1964,Silver,2
387,CAN,1968,Bronze,4
388,CAN,1968,Gold,3
389,CAN,1968,Silver,3
390,CAN,1972,Bronze,8
391,CAN,1972,Silver,2
392,CAN,1976,Bronze,12
393,CAN,1976,Silver,8
394,CAN,1984,Bronze,32
395,CAN,1984,Gold,19
396,CAN,1984,Silver,35
397,CAN,1988,Bronze,12
398,CAN,1988,Gold,4
399,CAN,1988,Silver,5
400,CAN,1992,Bronze,12
401,CAN,1992,Gold,27
402,CAN,1992,Silver,5
403,CAN,1996,Bronze,12
404,CAN,1996,Gold,8
405,CAN,1996,Silver,31
406,CAN,2000,Bronze,23
407,CAN,2000,Gold,4
408,CAN,2000,Silver,4
409,CAN,2004,Bronze,4
410,CAN,2004,Gold,3
411,CAN,2004,Silver,10
412,CAN,2008,Bronze,10
413,CAN,2008,Gold,11
414,CAN,2008,Silver,13
415,CAN,2012,Bronze,35
416,CAN,2012,Gold,1
417,CAN,2012,Silver,21
418,CHI,1928,Silver,1
419,CHI,1952,Silver,4
420,CHI,1956,Bronze,2
421,CHI,1956,Silver,2
422,CHI,1988,Silver,1
423,CHI,2000,Bronze,18
424,CHI,2004,Bronze,1
425,CHI,2004,Gold,3
426,CHI,2008,Silver,1
427,CHN,1984,Bronze,37
428,CHN,1984,Gold,26
429,CHN,1984,Silver,13
430,CHN,1988,Bronze,31
431,CHN,1988,Gold,6
432,CHN,1988,Silver,16
433,CHN,1992,Bronze,19
434,CHN,1992,Gold,18
435,CHN,1992,Silver,46
436,CHN,1996,Bronze,17
437,CHN,1996,Gold,19
438,CHN,1996,Silver,74
439,CHN,2000,Bronze,17
440,CHN,2000,Gold,39
441,CHN,2000,Silver,23
442,CHN,2004,Bronze,15
443,CHN,2004,Gold,52
444,CHN,2004,Silver,27
445,CHN,2008,Bronze,57
446,CHN,2008,Gold,74
447,CHN,2008,Silver,53
448,CHN,2012,Bronze,28
449,CHN,2012,Gold,56
450,CHN,2012,Silver,44
451,CIV,1984,Silver,1
452,CMR,1968,Silver,1
453,CMR,1984,Bronze,1
454,CMR,2000,Gold,18
455,CMR,2004,Gold,1
456,CMR,2008,Gold,1
457,CMR,2012,Bronze,1
458,COL,1972,Bronze,2
459,COL,1972,Silver,1
460,COL,1984,Silver,1
461,COL,1988,Bronze,1
462,COL,1992,Bronze,1
463,COL,2000,Gold,1
464,COL,2004,Bronze,2
465,COL,2008,Bronze,1
466,COL,2008,Silver,1
467,COL,2012,Bronze,4
468,COL,2012,Gold,1
469,COL,2012,Silver,3
470,CRC,1988,Silver,1
471,CRC,1996,Gold,1
472,CRC,2000,Bronze,2
473,CRO,1992,Bronze,3
474,CRO,1992,Silver,12
475,CRO,1996,Gold,16
476,CRO,1996,Silver,13
477,CRO,2000,Bronze,9
478,CRO,2000,Gold,1
479,CRO,2004,Bronze,3
480,CRO,2004,Gold,14
481,CRO,2004,Silver,3
482,CRO,2008,Bronze,3
483,CRO,2008,Silver,2
484,CRO,2012,Bronze,16
485,CRO,2012,Gold,15
486,CRO,2012,Silver,4
487,CUB,1900,Gold,1
488,CUB,1900,Silver,1
489,CUB,1904,Bronze,3
490,CUB,1904,Gold,4
491,CUB,1904,Silver,2
492,CUB,1948,Silver,2
493,CUB,1964,Silver,1
494,CUB,1968,Silver,10
495,CUB,1972,Bronze,18
496,CUB,1972,Gold,3
497,CUB,1972,Silver,1
498,CUB,1976,Bronze,14
499,CUB,1976,Gold,6
500,CUB,1976,Silver,4
501,CUB,1980,Bronze,5
502,CUB,1980,Gold,8
503,CUB,1980,Silver,7
504,CUB,1992,Bronze,14
505,CUB,1992,Gold,44
506,CUB,1992,Silver,13
507,CUB,1996,Bronze,10
508,CUB,1996,Gold,39
509,CUB,1996,Silver,8
510,CUB,2000,Bronze,12
511,CUB,2000,Gold,22
512,CUB,2000,Silver,35
513,CUB,2004,Bronze,22
514,CUB,2004,Gold,31
515,CUB,2004,Silver,8
516,CUB,2008,Bronze,11
517,CUB,2008,Gold,2
518,CUB,2008,Silver,34
519,CUB,2012,Bronze,7
520,CUB,2012,Gold,5
521,CUB,2012,Silver,3
522,CYP,2012,Silver,1
523,CZE,1996,Bronze,4
524,CZE,1996,Gold,4
525,CZE,1996,Silver,5
526,CZE,2000,Bronze,4
527,CZE,2000,Gold,2
528,CZE,2000,Silver,3
529,CZE,2004,Bronze,5
530,CZE,2004,Gold,1
531,CZE,2004,Silver,6
532,CZE,2008,Gold,3
533,CZE,2008,Silver,4
534,CZE,2012,Bronze,7
535,CZE,2012,Gold,4
536,CZE,2012,Silver,4
537,DEN,1896,Bronze,3
538,DEN,1896,Gold,1
539,DEN,1896,Silver,2
540,DEN,1900,Bronze,2
541,DEN,1900,Gold,1
542,DEN,1900,Silver,3
543,DEN,1908,Bronze,3
544,DEN,1908,Silver,12
545,DEN,1912,Bronze,34
546,DEN,1912,Gold,5
547,DEN,1912,Silver,45
548,DEN,1920,Bronze,1
549,DEN,1920,Gold,30
550,DEN,1920,Silver,44
551,DEN,1924,Bronze,2
552,DEN,1924,Gold,2
553,DEN,1924,Silver,8
554,DEN,1928,Bronze,3
555,DEN,1928,Gold,5
556,DEN,1928,Silver,5
557,DEN,1932,Bronze,4
558,DEN,1932,Silver,5
559,DEN,1936,Bronze,3
560,DEN,1936,Silver,3
561,DEN,1948,Bronze,27
562,DEN,1948,Gold,7
563,DEN,1948,Silver,15
564,DEN,1952,Bronze,5
565,DEN,1952,Gold,3
566,DEN,1952,Silver,1
567,DEN,1956,Bronze,1
568,DEN,1956,Gold,1
569,DEN,1956,Silver,5
570,DEN,1960,Bronze,4
571,DEN,1960,Gold,2
572,DEN,1960,Silver,17
573,DEN,1964,Bronze,4
574,DEN,1964,Gold,7
575,DEN,1964,Silver,1
576,DEN,1968,Bronze,6
577,DEN,1968,Gold,4
578,DEN,1968,Silver,6
579,DEN,1972,Gold,1
580,DEN,1976,Bronze,5
581,DEN,1976,Gold,3
582,DEN,1980,Bronze,2
583,DEN,1980,Gold,4
584,DEN,1980,Silver,2
585,DEN,1984,Bronze,10
586,DEN,1984,Silver,5
587,DEN,1988,Bronze,3
588,DEN,1988,Gold,3
589,DEN,1988,Silver,1
590,DEN,1992,Bronze,9
591,DEN,1992,Gold,3
592,DEN,1992,Silver,2
593,DEN,1996,Bronze,1
594,DEN,1996,Gold,22
595,DEN,1996,Silver,1
596,DEN,2000,Bronze,4
597,DEN,2000,Gold,18
598,DEN,2000,Silver,3
599,DEN,2004,Bronze,10
600,DEN,2004,Gold,19
601,DEN,2008,Bronze,6
602,DEN,2008,Gold,6
603,DEN,2008,Silver,6
604,DEN,2012,Bronze,8
605,DEN,2012,Gold,3
606,DEN,2012,Silver,5
607,DJI,1988,Bronze,1
608,DOM,1984,Bronze,1
609,DOM,2004,Gold,1
610,DOM,2008,Gold,1
611,DOM,2008,Silver,1
612,DOM,2012,Gold,1
613,DOM,2012,Silver,1
614,ECU,1996,Gold,1
615,ECU,2008,Silver,1
616,EGY,1928,Bronze,1
617,EGY,1928,Gold,2
618,EGY,1928,Silver,1
619,EGY,1936,Bronze,2
620,EGY,1936,Gold,2
621,EGY,1936,Silver,1
622,EGY,1948,Bronze,1
623,EGY,1948,Gold,2
624,EGY,1948,Silver,2
625,EGY,1952,Bronze,1
626,EGY,1960,Bronze,1
627,EGY,1960,Silver,1
628,EGY,1984,Silver,1
629,EGY,2004,Bronze,3
630,EGY,2004,Gold,1
631,EGY,2004,Silver,1
632,EGY,2008,Bronze,1
633,EGY,2012,Bronze,1
634,EGY,2012,Silver,3
635,ERI,2004,Bronze,1
636,ESP,1900,Gold,2
637,ESP,1920,Silver,24
638,ESP,1928,Gold,3
639,ESP,1932,Bronze,1
640,ESP,1948,Silver,3
641,ESP,1952,Silver,1
642,ESP,1960,Bronze,14
643,ESP,1972,Bronze,1
644,ESP,1976,Silver,6
645,ESP,1980,Bronze,3
646,ESP,1980,Gold,2
647,ESP,1980,Silver,19
648,ESP,1984,Bronze,3
649,ESP,1984,Gold,2
650,ESP,1984,Silver,14
651,ESP,1988,Bronze,2
652,ESP,1988,Gold,1
653,ESP,1988,Silver,2
654,ESP,1992,Bronze,2
655,ESP,1992,Gold,44
656,ESP,1992,Silver,20
657,ESP,1996,Bronze,22
658,ESP,1996,Gold,24
659,ESP,1996,Silver,21
660,ESP,2000,Bronze,20
661,ESP,2000,Gold,3
662,ESP,2000,Silver,20
663,ESP,2004,Bronze,8
664,ESP,2004,Gold,4
665,ESP,2004,Silver,15
666,ESP,2008,Bronze,16
667,ESP,2008,Gold,7
668,ESP,2008,Silver,48
669,ESP,2012,Bronze,25
670,ESP,2012,Gold,6
671,ESP,2012,Silver,34
672,EST,1920,Gold,1
673,EST,1920,Silver,2
674,EST,1924,Bronze,4
675,EST,1924,Gold,1
676,EST,1924,Silver,1
677,EST,1928,Bronze,6
678,EST,1928,Gold,2
679,EST,1928,Silver,1
680,EST,1936,Bronze,3
681,EST,1936,Gold,2
682,EST,1936,Silver,2
683,EST,1992,Bronze,2
684,EST,1992,Gold,1
685,EST,2000,Bronze,2
686,EST,2000,Gold,1
687,EST,2004,Bronze,2
688,EST,2004,Silver,1
689,EST,2008,Gold,1
690,EST,2008,Silver,2
691,EST,2012,Bronze,1
692,EST,2012,Silver,1
693,ETH,1960,Gold,1
694,ETH,1964,Gold,1
695,ETH,1968,Gold,1
696,ETH,1968,Silver,1
697,ETH,1972,Bronze,2
698,ETH,1980,Bronze,2
699,ETH,1980,Gold,2
700,ETH,1992,Bronze,2
701,ETH,1992,Gold,1
702,ETH,1996,Bronze,1
703,ETH,1996,Gold,2
704,ETH,2000,Bronze,3
705,ETH,2000,Gold,4
706,ETH,2000,Silver,1
707,ETH,2004,Bronze,2
708,ETH,2004,Gold,2
709,ETH,2004,Silver,3
710,ETH,2008,Bronze,2
711,ETH,2008,Gold,4
712,ETH,2008,Silver,1
713,ETH,2012,Bronze,2
714,ETH,2012,Gold,3
715,ETH,2012,Silver,2
716,EUA,1956,Bronze,22
717,EUA,1956,Gold,12
718,EUA,1956,Silver,23
719,EUA,1960,Bronze,21
720,EUA,1960,Gold,34
721,EUA,1960,Silver,33
722,EUA,1964,Bronze,49
723,EUA,1964,Gold,22
724,EUA,1964,Silver,44
725,EUN,1992,Bronze,66
726,EUN,1992,Gold,92
727,EUN,1992,Silver,65
728,FIN,1908,Bronze,27
729,FIN,1908,Gold,1
730,FIN,1908,Silver,1
731,FIN,1912,Bronze,22
732,FIN,1912,Gold,9
733,FIN,1912,Silver,36
734,FIN,1920,Bronze,17
735,FIN,1920,Gold,18
736,FIN,1920,Silver,14
737,FIN,1924,Bronze,15
738,FIN,1924,Gold,24
739,FIN,1924,Silver,13
740,FIN,1928,Bronze,9
741,FIN,1928,Gold,8
742,FIN,1928,Silver,8
743,FIN,1932,Bronze,16
744,FIN,1932,Gold,5
745,FIN,1932,Silver,8
746,FIN,1936,Bronze,13
747,FIN,1936,Gold,7
748,FIN,1936,Silver,6
749,FIN,1948,Bronze,7
750,FIN,1948,Gold,15
751,FIN,1948,Silver,7
752,FIN,1952,Bronze,29
753,FIN,1952,Gold,8
754,FIN,1952,Silver,3
755,FIN,1956,Bronze,22
756,FIN,1956,Gold,3
757,FIN,1956,Silver,1
758,FIN,1960,Bronze,4
759,FIN,1960,Gold,1
760,FIN,1960,Silver,1
761,FIN,1964,Bronze,2
762,FIN,1964,Gold,3
763,FIN,1968,Bronze,1
764,FIN,1968,Gold,1
765,FIN,1968,Silver,2
766,FIN,1972,Bronze,6
767,FIN,1972,Gold,3
768,FIN,1972,Silver,1
769,FIN,1976,Gold,4
770,FIN,1976,Silver,2
771,FIN,1980,Bronze,5
772,FIN,1980,Gold,3
773,FIN,1980,Silver,1
774,FIN,1984,Bronze,6
775,FIN,1984,Gold,4
776,FIN,1984,Silver,2
777,FIN,1988,Bronze,2
778,FIN,1988,Gold,1
779,FIN,1988,Silver,1
780,FIN,1992,Bronze,2
781,FIN,1992,Gold,1
782,FIN,1992,Silver,4
783,FIN,1996,Bronze,1
784,FIN,1996,Gold,1
785,FIN,1996,Silver,2
786,FIN,2000,Bronze,1
787,FIN,2000,Gold,3
788,FIN,2000,Silver,1
789,FIN,2004,Silver,2
790,FIN,2008,Bronze,2
791,FIN,2008,Gold,1
792,FIN,2008,Silver,2
793,FIN,2012,Bronze,3
794,FIN,2012,Silver,2
795,FRA,1896,Bronze,2
796,FRA,1896,Gold,5
797,FRA,1896,Silver,4
798,FRA,1900,Bronze,53
799,FRA,1900,Gold,46
800,FRA,1900,Silver,86
801,FRA,1908,Bronze,21
802,FRA,1908,Gold,9
803,FRA,1908,Silver,5
804,FRA,1912,Bronze,5
805,FRA,1912,Gold,10
806,FRA,1912,Silver,10
807,FRA,1920,Bronze,55
808,FRA,1920,Gold,13
809,FRA,1920,Silver,73
810,FRA,1924,Bronze,20
811,FRA,1924,Gold,39
812,FRA,1924,Silver,63
813,FRA,1928,Bronze,13
814,FRA,1928,Gold,7
815,FRA,1928,Silver,16
816,FRA,1932,Bronze,6
817,FRA,1932,Gold,23
818,FRA,1932,Silver,8
819,FRA,1936,Bronze,18
820,FRA,1936,Gold,12
821,FRA,1936,Silver,13
822,FRA,1948,Bronze,21
823,FRA,1948,Gold,25
824,FRA,1948,Silver,22
825,FRA,1952,Bronze,16
826,FRA,1952,Gold,14
827,FRA,1952,Silver,9
828,FRA,1956,Bronze,13
829,FRA,1956,Gold,6
830,FRA,1956,Silver,13
831,FRA,1960,Bronze,5
832,FRA,1960,Silver,6
833,FRA,1964,Bronze,17
834,FRA,1964,Gold,1
835,FRA,1964,Silver,13
836,FRA,1968,Bronze,10
837,FRA,1968,Gold,12
838,FRA,1968,Silver,5
839,FRA,1972,Bronze,15
840,FRA,1972,Gold,2
841,FRA,1972,Silver,5
842,FRA,1976,Bronze,8
843,FRA,1976,Gold,5
844,FRA,1976,Silver,7
845,FRA,1980,Bronze,6
846,FRA,1980,Gold,18
847,FRA,1980,Silver,5
848,FRA,1984,Bronze,31
849,FRA,1984,Gold,21
850,FRA,1984,Silver,16
851,FRA,1988,Bronze,13
852,FRA,1988,Gold,12
853,FRA,1988,Silver,4
854,FRA,1992,Bronze,43
855,FRA,1992,Gold,9
856,FRA,1992,Silver,5
857,FRA,1996,Bronze,20
858,FRA,1996,Gold,21
859,FRA,1996,Silver,10
860,FRA,2000,Bronze,14
861,FRA,2000,Gold,22
862,FRA,2000,Silver,30
863,FRA,2004,Bronze,22
864,FRA,2004,Gold,21
865,FRA,2004,Silver,10
866,FRA,2008,Bronze,28
